rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R20959422,i109452292,marquisa,ann,deeck,f,66,21/7/1950, 4  Brickhill  Place ,Gilmore,2905.0,ACT, 02  9690  0701 ,marquisa.lewis@aol.com,secondary-school,cleaner,13519.0, 3706  2682  4779  8195 ,51,2016-05-17T11:51+00:00
R37971177,a137197771,douglas,hutch,graham,f,55,4/9/1965, 7  woodridge  close  nutmeg  grove ,redlynch,4870.0,qld, 07  5579  4902 ,douglas.graham@mail.com,certificate-ii,other-worker,86240.0, 6137  0830  8258  9685 ,36,2020-03-12t09:23+00:00
R85478837,g158738784,claudia,danielle,mcneely,f,43,22/3/1977, 143  david  hill  road  clover  cottage ,monbulk,3793.0,vic,,mcneely.claudia@mail.com.au,bachelor-degree,health-professional,, 5375  0798  1916  5104 ,19,2015-11-23t23:25+00:00
R22240881,e180412282,carl,franklin,strickland,m,10,9/7/2007, 8  Moore  Street ,Bannockburn,3331.0,VIC, 03  7022  4733 ,strickland61@gmail.com,secondary-school,,0.0,,0,2017-04-11T17:44+00:00
R43940205,c192050344,tamika,lorrine,carroll,f,22,15/5/1998, 12  Wall  Street , Noble  Park ,3174.0,VIC, 03  5868  0480 ,,certificate-i,clerical-worker,, 4016  6466  5573  1846 ,3,2020-10-17T10:56+00:00
R41149109,a141014919,joseph,d,williams,f,11,16/6/2008, 223  Crooked  Lane , North  Richmond ,2754.0,NSW, 02  1497  0964 ,ejibhdngoi@mail.com.au,secondary-school,,0.0,,0,2019-03-05T07:24+00:00
R42636561,b161643256,nancy,,schwinger,f,10,12/11/2006, 17  Alarmon  Crescent ,Dunlop,2615.0,ACT, 02  5620  0790 ,harris-holloway39@mail.com,secondary-school,,-9999.0,,0,2016-08-07T19:20+00:00
R19464841,c146984411,corey,m,blair,f,28,2/6/1989, 18  Currawong  Street ,Mudjimba,4564.0,QLD, 07  4289  4154 ,corey.blair@mail.com.au,certificate-ii,engineering-worker,, 6660  4205  4551  0868 ,5,2010-09-27T21:02+00:00
R46053298,d182049536,frederick,stephon,mccray,m,51,14/6/1968, 66  Hotham  Street ,Casino,2470.0,NSW, 02  6436  2790 ,bioiekeipm@mail.com,doctoral-degree,education-professional,124517.0, 1327  1536  7858  7648 ,31,2017-09-21T06:38+00:00
R61107158,d168501117,paul,de'arno,wilson,f,41,10/2/1979, 111  narrung  road  alkaringa ,meningie,5264.0,sa, 08  0287  3809 ,paul52@aol.com,certificate-iv,other-technician,121400.0, 9645  6114  9320  6670 ,16,2014-08-06t10:09+00:00
R10774564,h171544067,jeremy,kyler,strausbaugh,m,66,25/9/1954, 18  bailey  street  tallara ,capella,4702.0,qld, 07  8854  6644 ,jeremy.strausbaugh@mail.com,advance-diploma,other-technician,-9999.0, 0518  8799  0573  1367 ,46,2019-11-26t11:48+00:00
R85723734,g137352748,brandon,george,jones,f,59,28/7/1957, 1  Benwerrin  Crescent ,Norwood,7250.0,TAS, 03  1428  9978 ,,senior-secondary-school,machinary-driver,17867.0, 7918  9208  1826  7591 ,44,2016-10-15T07:02+00:00
R31412482,d141123482,lloyd,donald,swain,f,33,14/4/1985, 3  Opel  Place ,Ingleburn,2565.0,NSW, 02  6357  2998 ,swain34@aol.com,diploma,ict-technician,142471.0, 5121  4364  6403  0267 ,16,2018-11-02T03:42+00:00
R51606610,g110606651,taylor,lynn,sullivan,f,52,3/8/1966, Station  House  Mountain  Valley  Stn ,Katherine,850.0,NT, 08  1562  2502 ,sullivan.taylor@hotmail.com,certificate-ii,engineering-worker,, 7774  8428  4769  7996 ,31,2014-06-14T11:40+00:00
R34969849,g149499386,james,m,hudgins,f,59,19/12/1961, 10  Warwillah  Avenue ,Wangaratta,3677.0,VIC, 03  0570  1290 ,hudgins.james@yahoo.com,certificate-ii,automotive-worker,80646.0, 1289  2262  3271  5097 ,36,2016-06-14T20:24+00:00
R24840613,a120864431,david,gray,gordon,m,63,5/9/1957, 29  platz  street  ashvale ,toowoomba,4350.0,qld, 07  6822  2107 ,gordon.david@mail.com.au,diploma,automotive-worker,99849.0, 8705  3172  1824  4571 ,43,2019-09-26t14:31+00:00
R03011135,e113501130,shaun,james,dunston,f,54,7/10/1966, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  9483  1026 ,dunston.shaun@aol.com,certificate-iv,ict-technician,101234.0, 5599  5020  5321  4665 ,35,2020-04-15t06:43+00:00
R24924209,e149222940,don,d,henderson,f,33,29/8/1986, 29  Sovereign  Drive ,Gympie,4570.0,QLD, 07  2303  9672 ,pgcahgdkeb@aol.com,certificate-i,secretary,36346.0, 3995  2441  2734  2136 ,15,2019-02-15T02:28+00:00
R18281145,i184528111,clarke,rayfritz,bradley,f,62,8/1/1957, 10  Narebar  Court ,Melton,3337.0,VIC, 03  8880  3113 ,clarke.bradley@yahoo.com,diploma,other-technician,145523.0, 8594  0816  2455  3024 ,44,2019-06-20T19:31+00:00
R08486545,e188405645,kevin,muir,victoria-florez,f,62,19/11/1955, 37  Byron  Street ,Coogee,2034.0,NSW, 02  9201  3057 ,victoria-florez.kevin@hotmail.com,certificate-iii,automotive-worker,, 4138  6012  9193  5285 ,46,2017-06-22T20:51+00:00
R03608082,c103682080,charles,anthony,cassaro,m,8,28/11/2011, 61  Kinabalu  Drive , Eagle  Heights ,4271.0,QLD, 07  5872  3257 ,cassaro72@mail.com.au,primary-school,,0.0,,0,2019-12-09T24:15+00:00
R86349726,b192648376,david,terrel,essary,m,30,10/10/1986, 21  Wills  Street ,Kew,3101.0,VIC, 03  5294  3209 ,essary69@mail.com,advance-diploma,education-professional,114143.0, 0601  8362  9615  5363 ,7,2008-07-27T23:27+00:00
R47403409,h103444907,carol,wheeler,wright,f,15,5/1/2004, 14  Minsky  Court , Mount  Low ,4818.0,QLD, 07  9084  8924 ,wright67@hotmail.com,senior-secondary-school,casual-worker,0.0, 1226  5436  9137  9408 ,3,2019-04-17T24:23+00:00
R53685170,g107658531,vanessa,astroud,evans,f,25,26/5/1994, 10  Balmoral  Avenue ,Riverside,7250.0,TAS, 03  4382  4161 ,vanessa31@gmail.com,graduate-certificate,art-media-professional,93611.0, 7830  7997  8035  7461 ,7,2019-10-21T21:45+00:00
R76420576,d106475762,aaron,jamal,doan,m,35,16/9/1981, Fishers  Road ,Boolarra,3870.0,VIC, 03  8637  3642 ,doan.aaron@aol.com,certificate-iv,other-technician,127886.0, 6748  2987  9459  9482 ,20,2016-11-10T09:03+00:00
R87962064,h186467902,johnny,michael,harper,f,64,20/3/1956, 187  george  street  mostly  cedar ,bathurst,2795.0,nsw, 02  2699  3095 ,pakjloaefp@mail.com.au,masters-degree,education-professional,113375.0, 6396  8260  3222  4002 ,42,2017-05-12t02:29+00:00
R48220033,c130324802,arthur,j,malcomb,m,51,13/12/1967, 47  Tanumbirini  Street ,Hawker,2614.0,ACT, 02  8157  3100 ,malcomb.arthur@mail.com,bachelor-degree,legal-professional,135857.0, 8294  4258  3208  1126 ,33,2017-08-13T05:01+00:00
R79912835,i159892173,greg,horace,reese,f,23,14/12/1995, Pyalong  Road ,Tallarook,3659.0,VIC, 03  3311  5564 ,olchjfmoro@mail.com,masters-degree,legal-professional,149388.0, 1592  8685  9528  6646 ,6,2018-02-22T06:17+00:00
R22294730,f193220274,jeffrey,scott,hilliard,m,64,20/5/1954, 34  McLucas  Street ,Murgon,4605.0,QLD, 07  6974  8695 ,,bachelor-degree,ict-technician,81546.0, 2022  9647  7975  7373 ,40,2011-10-19T22:31+00:00
R19410294,g110291944,melissa,m,bradley-manley,f,10,4/7/2009, 15  Eyre  Street , Wagga  Wagga ,2650.0,NSW, 02  8630  7929 ,jonrhjphpg@mail.com,primary-school,,0.0,,0,2019-07-27T13:35+00:00
R10624845,i102445618,sherry,williams,hicks,f,27,10/11/1989, 7  McBurney  Crescent ,Richardson,2905.0,ACT, 02  9280  0199 ,jkqmsfbgqi@mail.com,certificate-i,other-service-worker,52427.0, 7069  5206  8789  4448 ,8,2012-04-22T21:16+00:00
R66951098,d158669109,herman,lacey,golda,m,54,18/6/1966, 85  hester  street  cambrai  vlge ,merriwa,6030.0,wa, 08  8379  8554 ,,certificate-iv,automotive-worker,85687.0, 9195  3673  4948  1166 ,32,2017-09-27t24:38+00:00
R78236523,g153687232,odina,renee,faber,f,39,30/12/1979, 6  Dean  Court , Altona  North ,3025.0,VIC, 03  5123  4740 ,faber.odina@mail.com,certificate-iii,other-technician,131390.0, 8111  4264  3834  3013 ,22,2018-08-15T12:07+00:00
R95811770,e175011897,mary,karol,leonard,f,33,30/11/1987, 41  Dianthus  Avenue , Banksia  Beach ,4507.0,QLD, 07  5585  8361 ,mary.kindley@yahoo.com,certificate-i,carer,32611.0, 7030  5179  0518  8691 ,13,2019-07-17T04:11+00:00
R55801674,a157614805,eloise,scott,scarborough,f,4,2/2/2012, 13  Waterford  Road ,Gailes,4300.0,QLD, 07  7342  4547 ,scarborough.eloise@mail.com.au,primary-school,,0.0,,0,2016-05-16T13:10+00:00
R76427564,h147276564,graciela,,franks,f,59,17/11/1961, Happy  Valley ,Henty,2658.0,NSW, 02  2718  9820 ,franks.graciela@yahoo.com,secondary-school,factory-worker,17715.0, 0035  9736  6398  8938 ,40,2020-02-27T12:48+00:00
R04345863,a103844536,lonnie,eugene,walston,f,28,6/9/1990, 5  Offham  Way ,Westminster,6061.0,WA, 08  8376  1629 ,lonnie.walston@mail.com,masters-degree,general-manager,179997.0, 2396  6040  7130  4351 ,9,2016-06-19T15:31+00:00
R35777987,d179737578,kenneth,duffy,tansey,f,57,23/2/1963, 1  allambee  street  argyle  square ,reid,2612.0,act, 02  1327  3204 ,tansey60@yahoo.com,diploma,construction-worker,95505.0, 7277  0104  7441  7263 ,37,2019-11-12t12:29+00:00
R89339491,c141398993,jimmy,edwin,bischof,m,24,21/12/1994, 2224  Seven  Hills  Road , Baulkham  Hills ,2153.0,NSW, 02  9448  2829 ,qmmrnhlolk@yahoo.com,senior-secondary-school,farm-worker,10491.0, 2525  8371  2649  8586 ,7,2018-07-05T13:16+00:00
R25615619,h156652911,thomas,,mitchell,f,57,20/4/1960, 37  Cakebread  Road , Victor  Harbor ,5211.0,SA, 08  4488  9348 ,fqgbtcnffq@yahoo.com,certificate-ii,carer,31171.0, 7259  9198  0753  3191 ,34,2010-03-05T05:25+00:00
R79926196,c196692179,larry,lee,isenhour,f,15,22/11/2005, 66  MacDonald  Street ,Erskineville,2043.0,NSW, 02  0028  0300 ,larry94@mail.com,secondary-school,,0.0,,0,2020-12-23T01:38+00:00
R59115201,f111251059,terry,lamar,backman,f,38,4/8/1982, 69  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  0018  1307 ,terry89@aol.com,certificate-ii,other-worker,-9999.0, 0512  4610  9025  3107 ,18,2019-10-19t14:47+00:00
R02929183,a198392120,cierra,burke,barnes,f,50,12/7/1969, 20  Tower  Street ,Vaucluse,2030.0,NSW, 02  8954  8884 ,cierra86@hotmail.com,certificate-i,carer,58266.0, 6936  9588  0309  4384 ,30,2017-06-22T14:30+00:00
R33670913,g173630391,maxine,strickland,vance,f,34,5/11/1986, 584  oxford  street  bottom  flat , bondi  junction ,2022.0,nsw,,maxine76@hotmail.com,senior-secondary-school,other-clerical-worker,35411.0, 4758  9245  6210  7962 ,13,2018-07-04t05:43+00:00
R74321166,e116324167,tami,,white,f,21,23/8/1999, 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt,,gnodctboie@mail.com.au,bachelor-degree,education-professional,81788.0, 8117  0372  5704  4838 ,2,2020-04-01t20:20+00:00
R72913054,d195302471,kevin,salvatore,moore,m,27,26/3/1991, 37  Elizabeth  Street ,Floraville,2280.0,NSW, 02  6845  7766 ,dqkcsfotnq@gmail.com,certificate-iii,ict-technician,75938.0, 5170  2593  1749  8855 ,8,2016-09-21T09:54+00:00
R74132278,i178274132,david,avery,rector,m,26,8/10/1992, 39  Adamson  Street ,Wooloowin,4030.0,QLD, 07  2342  6453 ,david.rector@mail.com,diploma,construction-worker,73576.0, 0570  4507  2641  4943 ,7,2016-01-22T21:57+00:00
R49878379,f187497983,eric,michael,mattson,f,65,7/3/1953, 6  McDonnell  Court , Alice  Springs ,870.0,NT, 08  3976  5796 ,benkovich41@hotmail.com,certificate-i,clerks,44588.0, 1503  0677  1176  6436 ,48,2018-02-26T18:44+00:00
R35141545,i151445135,theresa,renee,camp,f,26,17/10/1991, 350  st  kilda  road  aprt  241 ,melbourne,3000.0,vic, 03  1608  6248 ,rkbtjdsaie@gmail.com,certificate-i,clerks,37049.0, 3203  9585  6774  4989 ,7,2014-04-09T18:12+00:00
R67697418,e148697671,patrick,,lowe,f,70,30/10/1949, 5  Highett  Place ,Glenhaven,2156.0,NSW, 02  0684  7280 ,lowe.patrick@gmail.com,graduate-certificate,manager,169164.0, 7734  6231  3364  5898 ,52,2019-11-08T13:30+00:00
R92008530,c130052089,francesca,kathleen,davis,f,52,30/3/1966, 1  Browne  Avenue , St  Albans ,3021.0,VIC, 03  4467  3230 ,davis.francesca@mail.com,diploma,engineering-worker,78139.0, 3107  4466  8471  8585 ,35,2018-10-16T10:51+00:00
R53566940,b134690655,mark,william,farmer,m,66,16/9/1953, Crawford  Road ,Kingaroy,4610.0,QLD,,farmer52@hotmail.com,graduate-certificate,education-professional,144574.0, 9910  4540  3911  9955 ,42,2013-10-09T21:28+00:00
R12784575,e185257147,corey,allen,coulter,m,61,26/7/1958, 1610  sofala  road  tandara ,peel,2795.0,nsw, 02  1131  4078 ,coulter76@mail.com.au,diploma,other-technician,, 6923  5363  5012  1966 ,43,2019-04-14T14:39+00:00
R96438948,e164834998,benjamin,,clifton,m,57,9/7/1963, 46  sturt  approach  craigburn  estate , flagstaff  hill ,5159.0,sa, 08  1744  5872 ,benjamin.clifton@yahoo.com,certificate-i,clerical-worker,-9999.0, 7950  7459  2114  0294 ,34,2016-09-21t15:28+00:00
R29951619,e192915916,scotty,barry,mcqueen,f,23,18/7/1995, 6  Belmore  Street ,Burwood,2134.0,NSW, 02  2938  4773 ,scotty.noble@hotmail.com,certificate-i,health-support-worker,72010.0, 2118  1917  1529  5656 ,6,2018-01-23T15:11+00:00
R00831180,g103801018,anna,jo,cooper,f,16,11/3/2001, Kooda  Road ,Invergowrie,2350.0,NSW, 02  6334  5008 ,anna39@mail.com,certificate-i,personal-services-worker,, 9266  4506  6503  1930 ,0,2017-07-17T06:34+00:00
R65234669,b146236569,angela,moore,queen,f,42,23/8/1974, 132  Currajong  Street ,Parkes,2870.0,NSW, 02  4616  6834 ,angela61@mail.com,bachelor-degree,health-professional,127940.0, 0167  1533  9479  1869 ,24,2013-07-18T05:25+00:00
R70766725,h105776672,jack,w,singleton,f,20,1/10/1996, 20  Westhoven  Street ,Higgins,2615.0,ACT, 02  7929  3688 ,singleton.jack@mail.com.au,advance-diploma,ict-technician,123712.0, 9338  5781  4189  7689 ,5,2016-01-18T23:44+00:00
R81011212,f101121812,kevin,tyler,mcdaniel,m,10,20/8/2007, 6  Cobham  Court ,Moulden,830.0,NT, 08  8226  4904 ,mcdaniel66@yahoo.com,secondary-school,,,,0,2017-01-04T16:25+00:00
R55452344,b154254345,frank,jason,walston,m,70,9/2/1949, 29  James  Street , St  Albans ,3021.0,VIC, 03  8800  5855 ,,graduate-diploma,education-professional,-9999.0, 9496  3153  2384  5196 ,46,2013-11-12T23:33+00:00
R41662293,c112623469,sonya,marie,spivey,f,16,23/9/2004, 23  Snowy  Place , Sylvania  Waters ,2224.0,NSW, 02  1527  8161 ,sonya80@yahoo.com,senior-secondary-school,casual-worker,0.0, 6747  4656  4911  1807 ,3,2020-04-06T10:32+00:00
R59101348,i118094153,juanita,erina,devous,f,54,9/5/1962, 6  Evelyn  Street ,Lammermoor,4816.0,QLD, 07  6016  4240 ,juanita72@yahoo.com,certificate-iii,other-technician,115497.0, 1224  0220  9419  2986 ,38,2015-02-10T13:11+00:00
R02440664,h160446042,terrance,oliver,spiegel,f,60,30/11/1960, 180  braddocks  road  longtree ,werombi,2570.0,nsw, 02  4646  4421 ,spiegel.terrance@mail.com,bachelor-degree,education-professional,87192.0, 2611  1642  0194  0413 ,39,2018-09-10t13:18+00:00
R33308019,d138033091,patricia,delphine,broadie,f,50,27/12/1970, 85  winchester  road  karboora  court , alexandra  hills ,4161.0,qld, 07  2865  7256 ,,certificate-iii,construction-worker,-9999.0, 2796  2615  1027  0334 ,27,2016-05-22t01:27+00:00
R17207846,f120618774,william,anthony,owens,f,31,18/8/1986, 11  Warrego  Circuit ,Kaleen,2617.0,ACT, 02  0834  7899 ,allen.william@gmail.com,senior-secondary-school,machinary-driver,15742.0, 4158  7678  8974  8734 ,14,2016-01-02T04:31+00:00
R11836321,e138311612,rodney,curtis,byers,f,27,12/7/1992, 54  Coolamon  Road ,Taroona,7053.0,TAS, 03  9654  3772 ,sijolrdarj@mail.com,bachelor-degree,other-technician,-9999.0, 3833  8932  1857  9993 ,9,2019-12-10T07:25+00:00
R42006588,c105084862,wesley,,moon,m,65,9/5/1955, 187  clarendon  road  willow  vale ,nile,7212.0,tas, 03  3619  9610 ,wesley27@mail.com.au,diploma,other-worker,67170.0, 4514  7797  2458  5280 ,45,2019-04-16t02:22+00:00
R07789917,e109777891,gwen,lee,kiphuth,f,45,15/12/1975, 22  Tasman  Crescent ,Alyangula,885.0,NT, 08  9827  6104 ,kiphuth.gwen@aol.com,certificate-i,health-support-worker,, 7182  6121  0272  7699 ,24,2018-11-08T03:20+00:00
R92699550,c160959925,garry,,lucas,m,57,11/5/1961, 148  Plantation  Road ,Corio,3214.0,VIC, 03  6422  7532 ,pnbsgaeatl@mail.com,advance-diploma,health-professional,, 1777  7449  8649  3626 ,40,2018-09-13T01:58+00:00
R66989690,b166960989,thomas,michael,johnston,m,49,1/6/1970, 1  Salisbury  Road ,Kensington,2033.0,NSW, 02  0270  2656 ,thomas77@hotmail.com,advance-diploma,other-technician,92658.0, 5595  6502  8794  5297 ,30,2018-02-11T17:19+00:00
R26117767,c167627171,devein,j,lewis,m,56,10/5/1964, 57  Turton  Street ,Sunnybank,4109.0,QLD, 07  5955  5313 ,,certificate-ii,other-worker,93890.0, 1851  9586  7164  4567 ,37,2020-04-14T06:37+00:00
R77916607,c161776907,john,edward,williams,f,69,16/1/1951, Stringybark  Lane ,Yellingbo,3139.0,VIC, 03  9041  5321 ,williams.john@yahoo.com,graduate-certificate,chief-executive,144313.0, 1524  2974  8481  1547 ,49,2019-11-22T10:44+00:00
R61316401,a141166301,kellum,thomas,juda,m,28,11/11/1992, 490  mount  mee  road  dalaneys  ck ,d'aguilar,4514.0,qld, 07  8877  5710 ,kellum41@mail.com,senior-secondary-school,farm-worker,14943.0, 6328  1079  5068  4013 ,5,2016-11-03T14:35+00:00
R66925576,c155666729,louis,james,garcia-clotter,f,63,8/8/1954, 317  Alfred  (North)  Street , Neutral  Bay ,2089.0,NSW, 02  0561  3701 ,louis64@gmail.com,masters-degree,general-manager,168641.0, 0650  5892  7576  2912 ,47,2017-03-08T24:50+00:00
R59148213,i153191482,william,robert,singletary,f,77,8/11/1943, 33  Ashley  Avenue , Quinns  Rocks ,6030.0,WA, 08  3749  2281 ,singletary.william@yahoo.com,certificate-i,health-support-worker,54566.0, 8651  1764  3109  1594 ,56,2018-10-18T13:44+00:00
R17382654,d137625481,gary,septin,cardenas,m,28,5/6/1992, 622  interlaken  road  mungala ,oatlands,7120.0,tas, 03  9353  5767 ,cardenas62@aol.com,certificate-ii,engineering-worker,78103.0, 2622  3872  7237  9998 ,6,2017-11-10T09:59+00:00
R36968416,h164189366,deirdre,,cook,f,34,27/7/1985, 16  Johnston  Avenue ,Birkdale,4159.0,QLD, 07  3695  1495 ,dtcbbonejs@mail.com.au,certificate-ii,other-worker,98510.0, 9301  8914  4565  0953 ,15,2018-01-11T22:06+00:00
R85377504,h175807453,maurice,d,ball,m,18,27/8/1999, 17  Beaufortia  Crescent ,Ellenbrook,6069.0,WA, 08  9799  6316 ,maurice.ball@aol.com,secondary-school,un-employed,-9999.0, 0234  7000  8872  7925 ,2,2017-09-26T18:03+00:00
R52623670,a126726053,michael,james,hayslette,m,19,30/3/1999, 18  Glenton  Street ,Abbotsbury,2176.0,NSW, 02  0518  9547 ,michael49@yahoo.com,diploma,ict-technician,, 2552  8399  8884  8600 ,2,2018-10-12T23:02+00:00
R00832827,c180380272,mickey,matthew,wilson,f,64,6/1/1952, 24  Wyena  Street ,Kallangur,4503.0,QLD, 07  6510  4239 ,begticisem@mail.com,advance-diploma,ict-professional,, 4882  3781  8587  1767 ,47,2014-08-15T07:47+00:00
R49789613,b146799183,lori,evette,cox,f,81,19/5/1939, 16  watership  downs  close  villa  2 ,terrigal,2260.0,nsw, 02  0520  6765 ,lori38@hotmail.com,graduate-diploma,re-tired,0.0, 1500  3508  2444  3716 ,45,2019-03-02T23:22+00:00
R49992030,g149239090,patricia,annette,hamby,f,44,14/9/1975, 40  Collard  Road , Humpty  Doo ,836.0,NT, 08  3063  0079 ,monroe54@yahoo.com,certificate-i,other-service-worker,34615.0, 7901  1910  7537  7109 ,26,2019-09-21T04:04+00:00
R02344463,a134462430,jonathan,j,stallings,f,70,11/5/1950, 67  high  street  bethany ,macarthur,3286.0,vic, 03  7158  2277 ,jonathan.stallings@yahoo.com,diploma,ict-technician,, 1703  4877  9889  4354 ,50,2019-04-19t23:01+00:00
R17122757,g111757227,earl,gordon,freeman,m,26,26/4/1994, 8  Kenneth  Court ,Gladstone,4680.0,QLD, 07  0066  7172 ,freeman.earl@mail.com.au,doctoral-degree,manager,153839.0, 7199  3163  2655  6419 ,6,2019-07-10T17:15+00:00
R70023114,i173124100,justin,pirie,hendrix,m,31,5/8/1985, 28  Alexander  Avenue , Bateau  Bay ,2261.0,NSW, 02  3592  4533 ,hendrix46@hotmail.com,certificate-i,health-support-worker,69036.0, 7332  1154  9906  1749 ,16,2016-11-24T20:08+00:00
R93409503,a193403905,aidan,mohammed,newton,f,54,2/9/1965, 139  Gold  Creek  Road ,Brookfield,4069.0,QLD,,bmioqnpghn@hotmail.com,advance-diploma,education-professional,148014.0, 7037  6830  7370  1192 ,36,2019-04-27T12:08+00:00
R18922693,g191269832,elmer,j,murray,m,52,22/8/1966, 9  Laird  Drive , Altona  Meadows ,3028.0,VIC, 03  8417  5720 ,murray.elmer@yahoo.com,senior-secondary-school,clerical-worker,47700.0, 1996  4666  2170  1278 ,35,2018-11-13T01:10+00:00
R98669028,b126988906,william,,johnson,m,67,18/4/1952, 171  Talford  Street ,Rockhampton,4700.0,QLD, 07  8086  8704 ,william.johnson@mail.com,certificate-ii,carer,61650.0, 0741  4428  0110  9577 ,49,2019-03-14T24:53+00:00
R19282710,g120891271,mahmood,phillip,winchester,f,68,31/10/1948, 3422  Gold  Coast  Highway , Surfers  Paradise ,4217.0,QLD, 07  5426  0309 ,,advance-diploma,education-professional,93619.0, 9136  1317  4075  8213 ,53,2016-01-16T19:27+00:00
R53680977,i197586730,pamela,margaret,rivera,f,16,23/10/2004, 333  handford  road  symes  grove ,taigum,4018.0,qld, 07  9542  0398 ,pamela9@gmail.com,senior-secondary-school,casual-worker,-9999.0, 6692  5119  4636  9734 ,3,2020-07-25t04:20+00:00
R03143322,g102423331,jennifer,jarman,gray,f,21,20/9/1997, 2  bay  berry  lane  st  vincents  specialists  centre ,robina,4226.0,qld, 07  6025  0836 ,gray36@yahoo.com,graduate-diploma,health-professional,148081.0, 1246  6648  5068  9558 ,4,2018-09-02T15:21+00:00
