rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-95177,f166980616,terry,doug,yanik,f,48,9/3/1965, 7503  14059  2  1 , 405  mooloolaba  road  buderim  garden ,buderim,4556.0,qld,,,married,189,76,21,76,234,0,orthostatic-hypotension,2013-10-08t20:45+00:00
rec-33677,i191828424,zelita,byrum,lasley,f,55,3/12/1961, 4583  17800  1  1 , 81  smith  street  aant  house ,darwin,800.0,nt, 08  7054  8436 ,zelita.lasley@aol.com,married,196,144,37,73,152,0,fall,2016-09-22t03:26+00:00
rec-33500,e172167166,richard,alexander,ericson,m,23,20/7/1992, 5669  80990  2  3 , 1  stead  road  point  cook  home , point  cook ,,vic,,ericson40.gmail.com,not-married,196,110,28,78,128,0,adverse-reaction-to-narcotics-post-l-hip-surgery,2016-08-04t16:18+00:00
rec-44703,g194190416,pamela,ruth,smith,f,6,6/11/2009, 4881  55964  2  3 , 38  boyd  street  specialist  centre , tweed  heads ,2485.0,nsw,,cnipetllsa@mail.com.au,,108,26,22,76,142,0,hypertension,2015-01-13t17:04+00:00
rec-62340,e123896920,christina,zara,smith,f,9,30/6/2005, 5811  95159  1  2 , 7  somerset  drive  sommerset  park ,thornton,2322.0,nsw, 02  0510  9716 ,christina18@yahoo.com,,137,42,22,70,160,0,myocardial-infarction-w/-non-st-elevation,2014-03-21t18:21+00:00
rec-30545,a154953164,pattie,joann,beardsley,f,33,24/4/1985, 2222  75997  2  1 , 306  jetty  road  amberlee ,rosebud,3939.0,vic, 03  0524  4151 ,,married,167,83,29,70,192,0,elevated-cholesterol,2018-05-26t22:04+00:00
rec-17364,h127634869,ida,elayne,butler,f,17,6/8/2000, 2830  59286  2  2 , 115  beach  street  aprt  401 , port  melbourne ,3207.0,vic, 03  3904  9272 ,ida7@yahoo.com,married,181,87,26,69,199,0,nausea,2017-07-09t21:52+00:00
rec-85068,g160822192,darrell,,olivares,f,23,8/9/1994, 3930  41622  1  3 , 37  derrington  crescent  unt  9 ,bonython,,act,,darrell.olivares@mail.com,married,188,105,29,75,179,0,depressed-mood,2017-01-17t10:26+00:00
rec-73864,e189848629,shawn,david,pellino,f,57,12/6/1961, 4445  42734  2  2 , 82  bias  avenue  nareen  gardens  vlge , bateau  bay ,2261.0,nsw, 02  0995  5356 ,pellino.shawn@gmail.com,married,191,143,39,73,161,1,abdominal-discomfort,2018-05-24t21:10+00:00
rec-21118,i183337449,jamie,ann,monical,f,50,25/7/1963, 9919  32044  2  1 , 55  church  street  bushy  park  caravn  park ,cowes,3922.0,vic,,,married-de-facto,197,64,16,75,154,0,pain-in-the-bottom-of-the-foot,2013-02-10t07:19+00:00
rec-84848,e183808519,chris,boyd,smith,f,59,21/7/1958, 5353  68827  1  1 , 622  interlaken  road  mungala ,oatlands,7120.0,tas, 03  5640  6274 ,chris.smith@hotmail.com,married,174,118,38,76,119,0,wandering,2017-03-10t14:58+00:00
rec-38547,f161267602,olu,keith,williams,m,14,2/2/2001, 8130  16360  1  2 , 6  burke  street  streaky  bay  health  centre , streaky  bay ,5680.0,sa, 08  8728  5418 ,williams.olu@gmail.com,married,141,74,37,70,204,0,diarrhea,2015-05-27t08:14+00:00
rec-80382,c109843798,sam,lee,hill,f,59,16/12/1958, 7582  75381  1  2 , 53  bias  avenue  nareen  garden , bateau  bay ,2261.0,nsw, 02  9889  7222 ,kjtohbdhnn@mail.com,married,169,74,25,76,208,0,carbon-monoxide-toxicity,2017-12-06t03:28+00:00
rec-44542,g199287181,william,clark,kearson,m,21,19/12/1995, 7850  83758  1  3 , 55  malonga  drive  malonga  park ,burnie,7320.0,tas,,,married,168,-99,34,75,163,0,skin-rash,2016-09-17t16:50+00:00
rec-31783,d135870442,tiffany,denise,woods,f,10,19/11/2007, 9362  52740  1  2 , 56  drummond  street  flower  growers ,urangan,4655.0,qld, 07  7312  6810 ,kabhtqonsl@aol.com,,133,28,15,77,116,0,urinary-frequency-(increased),2017-01-26t22:37+00:00
rec-77285,a164968485,joshua,thomas,banks,f,52,8/1/1965, 7071  50056  1  1 , 501  little  collins  street  aprt  601 ,melbourne,3000.0,vic, 03  2507  7545 ,banks.joshua@gmail.com,not-married,171,138,47,77,184,1,ankle-swelling,2017-10-10t15:19+00:00
rec-71944,i182647698,jeremy,lenerd,betts,f,60,9/2/1956, 8515  38743  1  1 , 30  cascade  road  st  john's  campus , south  hobart ,7004.0,tas, 03  3316  6192 ,betts38@yahoo.com,married,197,60,15,72,261,0,headache,2016-03-14t08:37+00:00
rec-6510,i162448407,logan,e,metters,f,18,8/12/1998, 3585  34293  2  3 , 256  stenner  street  kareelah , middle  ridge ,4350.0,qld, 07  0094  6795 ,,married,172,93,31,74,201,0,hospitalization-for-placement-of-4-stents,2016-04-13t01:34+00:00
rec-58532,h189005271,lonza,earl,bethea,m,55,14/1/1959, 1917  11999  2  2 , 66  hutton  road  glen  alvie ,keysborough,3173.0,vic, 03  2463  6824 ,,widowed,179,70,21,77,142,1,thyroid-nodules.,2014-11-03t19:47+00:00
rec-41284,c177062392,tori,l,ledford,f,34,16/2/1982, 9362  37251  2  2 , 99  samuel  street  kings  langley , elizabeth  town ,7304.0,tas, 03  5582  4015 ,,not-married,192,81,21,81,274,1,fall,2016-03-21t23:56+00:00
rec-51415,e157457132,rachel,hannah,cox,f,37,12/3/1977, 6791  97495  1  1 , 258  coast  road  north  star  resort , hastings  point ,2489.0,nsw,,,married,188,124,35,72,251,1,drowsiness,2014-11-17t15:01+00:00
rec-75683,a109449558,j,keith,pelley,f,6,25/5/2014, 7652  52133  2  2 , 4  bedingfeld  road  bedingfeld  lodge ,pinjarra,,wa, 08  3333  6371 ,pelley16@yahoo.com,,106,22,19,76,210,0,angina-pectoris,2020-04-21t10:16+00:00
rec-7012,a133379269,katharine,smith,burns,f,7,13/9/2013, 9439  99056  1  2 , 36  benelong  crescent  apt  7 , bellevue  hill ,2023.0,nsw, 02  3682  4305 ,,,129,34,20,72,141,0,fall-with-nose-fx-and-stitches,2020-02-07t20:51+00:00
rec-49694,f183715985,malik,chhotabhai,smith,m,26,28/2/1989, 5569  76297  1  2 , 3  hays  street  goolwa  cottage ,goolwa,5214.0,sa, 08  9865  5164 ,mrinpabfjs.mail.com.au,married,167,117,41,78,225,0,radiation-treatments-and-seed-implants-for-prostate-ca,2017-07-16t24:22+00:00
rec-92134,c187695050,ralph,,wilson,m,24,25/8/1992, 7562  44713  2  2 , 1  donnithorne  road  willyaroo  street ,strathalbyn,5255.0,sa,,wilson.ralph@gmail.com,married-de-facto,195,112,29,73,144,0,sore-throat,2016-02-25t04:50+00:00
rec-60749,f175746687,jeanette,b,thomas,f,67,25/6/1950, 4832  57995  1  2 , 44  victoria  street  hastings  clinic ,hastings,,vic, 03  3490  3237 ,,not-married,173,136,45,70,119,0,bulge,2017-01-02t04:59+00:00
rec-22383,a174456715,david,fitzgerald,smith,m,9,11/10/2011, 3201  30040  2  2 , 202  fosters  road  stanley  house ,oakden,5086.0,sa,,,,142,27,13,75,109,0,drowsiness,2020-04-23t05:26+00:00
rec-31393,g187717817,wayne,charles,mashburn,m,41,13/3/1977, 2661  38383  1  2 , 1  the  boulevard  tall  woods  village , hallidays  point ,2430.0,nsw, 02  3434  1308 ,wayne.mashburn@gmail.com,married,166,147,53,72,212,0,ankle-swelling,2018-01-22t21:15+00:00
rec-61806,f164842058,tyler,omar,dunn,f,8,3/6/2008, 8205  41535  2  2 , 286  beechwood  road  crosslands ,wauchope,,nsw,,,,139,27,13,78,81,0,left-sided-weakness,2016-05-15t10:39+00:00
rec-24061,f184335868,allison,carmen,nelson,m,56,3/1/1961, 4577  86993  1  1 , 34  margaret  street  yallambee  retirement  centre ,millmerran,4357.0,qld,,allison.nelson@yahoo.com,married,177,90,28,75,232,0,chills,2017-02-24t05:49+00:00
rec-18377,i142421943,garland,elijah,oesterling,m,65,29/12/1953, 8493  68730  1  1 , 69  railway  terrace  kilclief ,kingaroy,4610.0,qld,,garland.oesterling@mail.com.au,married-de-facto,187,135,38,72,112,1,rare-pain-in-left-hip,2018-03-14t02:35+00:00
rec-15214,f132152690,connie,henry,white,f,10,21/11/2007, 6238  12065  2  2 , 512  glencoe  road  narrabloc ,proston,,qld, 07  8617  5407 ,connie.white@mail.com.au,,136,-99,19,75,177,0,dizziness,2017-05-10t01:02+00:00
rec-91578,a141712542,william,armard,pleasant,f,12,10/6/2004, 5778  43463  1  2 , 4  warneford  street  flt  2 , south  hobart ,7004.0,tas, 03  6134  6917 ,cmkseetfnk@mail.com.au,,148,51,23,75,104,0,bach-ache,2016-07-12t02:42+00:00
rec-84767,f147968553,matthew,r,joyner,f,10,13/6/2010, 1825  35409  1  3 , 1  finucanes  lane  sleepy  lagoon ,bega,2550.0,nsw, 02  9036  7673 ,,,147,44,20,71,241,0,extraction-of-abscessed-tooth,2020-02-01t10:35+00:00
rec-90111,a185678083,tyler,james,russell,m,54,30/7/1957, 5540  86059  2  1 , 239  george  street  mlc  centre ,brisbane,4000.0,qld,,tyler88@yahoo.com,not-married,165,108,39,72,90,0,fall---(tripped-over-cords)-resulting-in-some-soreness,2011-01-05t07:20+00:00
rec-78909,g113609254,maurice,adams,baynes,f,57,4/7/1959, 8456  89725  2  2 , 8  reid  walk  hester  rise ,macleod,3085.0,vic,,aalkpgdgif@gmail.com,widowed,199,141,35,74,109,1,post-lumbar-puncture-headache,2016-10-27t09:45+00:00
rec-69804,i172833232,christopher,,lovins,f,43,27/7/1973, 6914  77673  2  1 , 5  barrett  drive  floreat  village , alice  springs ,870.0,nt, 08  4328  2961 ,lovins65@hotmail.com,married-de-facto,168,126,44,73,236,0,dark-spots-in-visual-field,2016-08-04t13:49+00:00
rec-89499,h110434821,william,gray,lasher,f,19,2/6/1999, 4961  69628  1  2 , 582  mount  aitken  road  kimnic  park ,sunbury,3429.0,vic,,,not-married,195,-99,22,67,242,0,shingles,2018-09-02t03:48+00:00
rec-20895,g196761299,vivian,wheeless,horton,f,57,21/3/1958, 8350  29660  2  2 , 32  schofield  road  schofield  hill ,bywong,2621.0,act, 02  5902  7397 ,vivian.horton@mail.com.au,married,189,117,32,76,141,0,cold-and-fever,2015-06-14t02:33+00:00
rec-83451,e132922969,thomas,b,rosales,f,6,1/1/2005, 6678  22480  1  2 , 1  benetook  avenue  rp  222435q ,koorlong,3501.0,vic,,rosales65.aol.com,,120,26,18,72,176,0,crying,2012-09-24t01:47+00:00
rec-79329,e170507136,eric,d,knight,f,47,31/5/1966, 8698  92724  1  2 , 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  7874  4479 ,eric89@mail.com,not-married,194,-99,34,79,141,0,nausea,2013-08-22t09:37+00:00
rec-28639,b180534423,nicholas,michael,schatzman,m,20,31/12/1993, 7008  40214  2  2 , 48  corinna  street  unt  2 ,woden,2606.0,act, 02  3718  7005 ,oltsijhmqp@mail.com.au,married,199,84,21,71,227,0,worsening-arthritis,2013-05-03t05:49+00:00
rec-64084,f130387552,michael,floyd,dickens,m,39,24/11/1973, 9909  60284  1  2 , 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  0707  2133 ,dlsdepdgdb@mail.com,married,198,80,20,81,134,0,diarrhea,2012-06-27t16:11+00:00
rec-26849,h141823092,muriel,ann,jamison,f,46,6/5/1968, 3443  66805  2  2 , 20  joyce  street  orora  garden , coffs  harbour ,,nsw,,muriel86@aol.com,married-de-facto,165,145,53,78,123,0,surgical-repair-of-torn-meniscus-left-knee,2014-01-10t20:13+00:00
rec-49959,c108190259,courtenay,lynn,brooks,m,40,5/2/1972, 2669  74451  2  1 , 10  bogong  street  birrilee ,jindabyne,,nsw,,ktcnmihort@gmail.com,not-married,199,112,28,77,244,1,depression,2012-08-12t11:24+00:00
rec-49801,e162045372,leanne,harris,smith,m,24,23/8/1995, 7596  44204  1  2 , 40  parap  road  finance  house ,darwin,800.0,nt, 08  1865  5501 ,leanne13@aol.com,married,181,90,27,85,125,0,fall,2019-01-04t24:47+00:00
rec-29756,g125639625,pearline,lynne,pruett,f,16,27/4/1995, 8845  69570  2  2 , 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  7883  6282 ,pruett.pearline.aol.com,not-married,195,-99,19,74,241,1,headache,2014-03-10t10:27+00:00
rec-59207,g174375681,richard,anthony,west,m,23,8/11/1993, 3478  64821  1  2 , 160  windermere  road  lioevilo ,windermere,7252.0,tas,,richard.west@mail.com.au,not-married,167,58,20,72,211,0,inverted-eyelid-operation,2016-06-27t04:43+00:00
rec-45342,h165964435,tamara,joy,jones,f,45,11/1/1971, 8664  81216  1  1 , 24  bellevue  drive  parklands  estate , little  mountain ,4551.0,qld, 07  8108  7407 ,,married,169,-99,32,75,122,0,dry-mouth,2016-07-10t02:54+00:00
rec-80888,i168981124,thomas,thomas,fleming,f,23,1/6/1992, 2632  66971  1  2 , 40  marcus  clarke  street  canberra  house , canberra  city ,2601.0,act, 02  6847  2895 ,,divorced,187,57,16,68,208,0,left-carotid-artery-endarterectomy,2015-04-13t02:56+00:00
rec-87666,g114212987,donald,michael,flemming,f,17,21/10/2002, 3577  95654  2  3 , 254  greenhill  road  victoria  grove  est ,glenside,5065.0,sa, 08  5492  3101 ,,,171,64,21,72,52,0,syncopal-episode,2019-04-25t10:50+00:00
rec-36914,i156259015,edward,montrell,jacobs,m,28,27/7/1986, 7466  93453  1  1 , 19  lorikeet  lane  bagnalls  road ,cooroy,,qld,,,married,171,80,27,69,198,0,basal-cell-removed,2015-02-02t16:30+00:00
rec-55292,f195432372,joseph,edward,stanfield,m,22,29/10/1995, 4785  95215  2  2 , 10  canal  road  parkridge  villa ,paynesville,3880.0,vic,,,married,183,109,32,83,171,0,crying-spells,2017-02-22t02:56+00:00
rec-34159,b126916979,curtosha,west,fitzgerald,f,19,23/1/2000, 9230  88034  1  2 , 46  noble  street  driftwoodon  noble ,anglesea,,vic, 03  0625  4646 ,curtosha15@mail.com,not-married,165,61,22,90,69,0,weak-bladder,2019-06-16t04:12+00:00
rec-56371,d126379114,izell,marquel,king,m,7,30/10/2008, 3248  64564  1  2 , 435  nepean  highway  peninsula  centre ,frankston,3199.0,vic,,izell90@mail.com,,126,34,21,72,196,0,basal-cell-cancer,2015-04-21t03:25+00:00
rec-91218,i136380232,raymond,ramson,eastwood,f,12,24/9/2004, 7853  56364  2  2 , 638  maidens  brush  road  henry  kendall  vlge , gosford  north ,2250.0,nsw, 02  2751  6882 ,eastwood85@mail.com,,148,58,26,78,279,0,mild-depression,2016-05-19t07:50+00:00
rec-90480,f111118693,danny,michael,nichols,f,17,31/1/2001, 4304  92168  2  3 , 16  national  circuit  national  press  club ,barton,2600.0,act,,ntnbfrttds@yahoo.com,married-de-facto,182,84,25,78,227,0,knee-replacement,2018-09-18t12:04+00:00
rec-97187,c160877978,john,e,porter,f,55,6/8/1959, 1249  57334  1  1 , 1  barramundi  drive  dundee  downs ,daly,822.0,nt, 08  6602  3783 ,,not-married,178,127,40,76,101,1,wandering,2014-10-23t11:17+00:00
rec-53219,i170873518,joel,james,gardner,f,59,23/10/1954, 1315  89766  2  2 , 19  beatty  boulevard  tanilba  garden , tanilba  bay ,2319.0,nsw,,,not-married,199,95,23,82,88,0,high-blood-pressure,2015-05-16t17:47+00:00
rec-15435,e176997854,julia,anne,horvath,f,26,31/1/1993, 2866  48197  2  1 , 2  manning  street  flr  1 ,kiama,,nsw,,,married,195,129,33,83,228,0,dry-mouth,2019-06-05t20:59+00:00
rec-82778,a121341251,joshua,vern,butler,f,61,18/9/1956, 9904  13071  2  1 , 161  strickland  crescent  canberra  speclst  centre ,deakin,2600.0,act,,butler56@aol.com,married,186,100,28,79,202,0,gerd,2017-08-11t04:41+00:00
rec-33054,e178667058,gerald,lee,fitzsimmons,m,17,3/2/1998, 4366  55792  1  2 , 74  wardoo  street  the  domain  retire ,ashmore,4214.0,qld,,,married,166,74,26,73,173,0,low-energy,2015-06-14t03:28+00:00
rec-31257,f140497705,shirley,elizabeth,dixon,m,17,17/11/1996, 4104  94144  1  3 , 1  brand  highway  wallering  brook ,gingin,6503.0,wa, 08  2982  6874 ,shirley14.yahoo.com,married-de-facto,192,126,34,82,173,1,dry-skin-along-hairline,2016-09-02t24:52+00:00
rec-69486,e169162790,jack,eugene,mayes,m,38,18/11/1978, 7211  47394  1  1 , 1  johneva  avenue  rose  leigh ,wodonga,3690.0,vic, 03  4968  1721 ,mayes.jack@mail.com.au,married-de-facto,171,70,23,79,283,1,insomnia,2016-05-23t08:55+00:00
rec-81980,f177431410,jordan,lee,wilkes,m,57,19/2/1961, 6943  48127  1  2 , 17  bateau  bay  road  nareen  gardns  hstl , bateau  bay ,,nsw, 02  7046  4507 ,wilkes82@gmail.com,not-married,184,79,23,70,170,1,conjunctivitis---both-eyes,2018-01-27t13:04+00:00
rec-89624,e177321097,seth,tilson,addison,f,56,24/1/1963, 8085  94058  2  2 , 1575  portarlington  road  somerset  cottage ,drysdale,3222.0,vic, 03  5389  3738 ,seth7@mail.com.au,married,179,-99,41,75,149,0,skin-irritation-over-arms,2019-12-18t03:43+00:00
rec-84490,e150240310,daniel,nelson,james,m,66,13/3/1952, 2381  67796  1  1 , 1  hardcastle  road  finis  river , dundee  beach ,840.0,nt, 08  4025  0505 ,,married,185,73,21,73,98,0,skin-lesion,2018-06-14t22:25+00:00
rec-71564,i158660611,tyler,nijeedamani,hylton,f,10,10/12/2007, 9161  54314  1  3 , 3  nevada  street  henley  cottage , south  hobart ,7004.0,tas,,,,126,28,17,80,204,0,dry-mouth,2017-10-25t16:14+00:00
rec-18533,a113656247,larry,eugene,hutchens,m,66,15/3/1950, 9489  13113  2  2 , 20  ocean  road  foran  track , apollo  bay ,3233.0,vic,,larry33.gmail.com,married,182,115,34,74,213,0,laceration-of-the-ring-finger-on-left-hand,2016-03-19t09:33+00:00
rec-57949,e192099903,naeem,antonio,herndon,m,47,21/9/1972, 5983  92690  2  1 , 19  the  mall  paspaley  pearls  building ,darwin,800.0,nt, 08  8166  9765 ,herndon.naeem@yahoo.com,not-married,169,60,21,78,224,0,hammertoe-surgery-burning-feet,2019-08-16t16:12+00:00
rec-87782,c137371546,se,trevon,york,f,51,20/2/1965, 5084  64444  1  2 , 121  johnston  street  tamwell  centre ,tamworth,2340.0,nsw, 02  8027  8306 ,,married,185,108,31,74,163,0,low--back-pain,2016-02-12t21:51+00:00
rec-78728,c137934348,david,laron,watson,f,22,3/9/1989, 5903  43153  2  2 , 7  keith  lane  level  one , fannie  bay ,820.0,nt, 08  6922  0416 ,watson86@yahoo.com,divorced,199,67,16,81,84,0,bilateral-groin-rash,2011-09-06t16:17+00:00
rec-85029,g198415480,adam,alton,burnette,f,12,2/4/2002, 1084  84319  1  3 , 11  fairway  drive  redwood  vlge ,kingston,7051.0,tas,,adam.burnette@mail.com,,149,39,17,80,196,0,right-cataract,2014-08-08t17:04+00:00
rec-56102,i168713945,victoria,callahan,greene,f,51,12/10/1967, 6352  76448  2  1 , 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  6716  0189 ,,not-married,183,141,42,70,109,1,crying,2018-12-27t18:41+00:00
rec-29115,c183377283,phillip,wesley,ford,m,71,20/2/1947, 8460  42277  2  2 , 123  willandra  road  villa  20 ,cromer,2099.0,nsw, 02  8360  5956 ,ford7@gmail.com,not-married,186,113,32,73,149,0,insomnia,2018-04-22t22:57+00:00
rec-50171,a133763844,gay,heath,hyde,f,9,21/9/2006, 9269  55179  2  3 , 3  meander  avenue  jane  eliza ,renmark,5341.0,sa,,jnlnpamsll@gmail.com,,142,40,19,73,121,0,headache,2015-03-11t14:53+00:00
rec-81758,b121744530,tyronte,r,poteete,f,6,23/7/2008, 5578  22746  2  2 , 5  third  avenue  broadlands  est , green  point ,2251.0,nsw, 02  3591  6229 ,jhkimjkqqr@mail.com.au,,111,24,19,71,144,0,fall,2014-04-05t07:16+00:00
rec-6599,i106064848,susan,denise,mcintyre,f,19,4/7/1997, 8208  34216  1  2 , 49  bolsover  street  tannachy  specialist  centre ,rockhampton,,qld, 07  8864  5101 ,mcintyre.susan@gmail.com,married-de-facto,195,85,22,79,150,0,irritable-bowel,2016-06-22t24:29+00:00
rec-87182,c186082287,eddie,tate,connors,f,48,3/3/1966, 7093  92157  2  2 , 81  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,,nsw,,eddie70@mail.com,married,187,75,21,72,248,0,high-blood-pressure,2014-08-27t08:36+00:00
rec-22087,f186081313,edward,david,day,m,47,29/12/1968, 6699  45516  1  2 , 389  barkly  street  flt  3 ,elwood,3184.0,vic, 03  9508  2033 ,day67@mail.com.au,married,193,122,32,66,77,0,infection-left-foot,2015-04-07t13:33+00:00
rec-48698,h131158262,javier,william,starnes,m,13,29/6/2000, 4000  18222  2  2 , 6  paradise  court  darlington  park  resort ,arrawarra,2456.0,nsw, 02  6221  8112 ,javier.starnes@yahoo.com,separated,158,71,28,69,145,0,macular-degeneration,2013-01-09t11:03+00:00
rec-52649,a102371038,kitling,,stokes,f,36,14/5/1981, 7485  80264  1  1 , 23  burkitt  street  ginninderra  garden ,page,,act, 02  3813  4948 ,stokes2@hotmail.com,widowed,197,105,27,67,102,0,headache,2017-09-19t05:34+00:00
rec-9963,e199235819,maguy,louise,johnson,f,56,1/7/1959, 4154  95726  2  1 , 3  parap  road  parap  village  shopping  centre ,parap,820.0,nt, 08  6923  0005 ,aeoqejahng@yahoo.com,married,174,77,25,73,222,0,acute-pain,2015-07-13t09:57+00:00
rec-34517,d116676648,michael,,brown,f,60,9/3/1958, 4511  10550  1  1 , 182  bay  terrace  flinders  building ,wynnum,,qld, 07  2598  7917 ,,not-married,173,148,49,72,172,1,right-radial-fracture,2018-09-08t10:36+00:00
rec-18427,d124790666,william,wayne,walden,f,50,4/12/1963, 5420  97637  1  2 , 132  evans  road  heritage  est ,toukley,2263.0,nsw, 02  4975  6290 ,,separated,180,-99,17,76,190,1,full-body-hives,2016-01-08t18:57+00:00
rec-5132,h128374886,maggie,brame,julien,f,19,18/1/1998, 5061  33104  2  2 , 231  scaysbrook  drive  brentwood  vlge ,kincumber,2251.0,nsw,,,married-de-facto,193,71,19,73,169,0,lipomas,2017-04-11t11:58+00:00
rec-58027,d110296031,nancy,f,mcneal,f,61,12/5/1955, 5519  90523  2  1 , 5  tiwi  gardens  road  tiwi  professional  suites ,tiwi,810.0,nt, 08  7753  0254 ,nancy.mcneal@gmail.com,married-de-facto,191,139,38,76,208,1,kidney-stone,2016-02-25t14:41+00:00
rec-55892,f129287690,vickie,denise,wells,f,44,25/5/1973, 2639  48018  1  1 , 12  hampstead  road  hampstead  house ,broadview,5083.0,sa, 08  9932  3347 ,vickie30.mail.com,married,198,138,35,75,154,0,fall,2017-09-18t21:54+00:00
rec-18796,h129792017,sophia,inez,moore,f,68,11/10/1947, 8695  57211  2  1 , 16  skeldale  wynd  heritage  manor  est ,morwell,,vic, 03  2059  7364 ,,married-de-facto,167,147,52,80,231,0,chest-rash/ringworm,2015-08-17t02:20+00:00
